trial_id,spike_times,condition_id,condition_angle,unit_label
50,"[313.9, 1645.0, 3077.6, 3145.2, 3200.1, 3235.5, 3254.5, 3262.3, 3341.6, 3449.8, 3456.7, 3516.7, 3615.1]",5,150,"A588, U18, #15, OT"
51,"[533.7, 1432.0, 1440.5, 2523.9, 2644.9, 2857.8, 2887.4, 2970.6, 3033.5, 3245.2, 4285.1]",4,120,"A588, U18, #15, OT"
52,"[6.0, 103.6, 110.0, 132.9, 1209.3, 1573.5, 1634.1, 1662.5, 1666.6, 1681.3, 1724.8, 1748.2, 2154.5, 2157.9, 2468.4]",3,90,"A588, U18, #15, OT"
53,"[477.5, 543.7, 556.8, 612.1, 629.8, 639.1, 731.9, 824.2, 827.3, 883.1, 924.7, 936.7, 940.4, 958.2, 1005.7, 1168.0, 1200.9, 1314.2, 1912.6, 1975.6, 2071.2, 2476.7, 2598.1, 2705.1, 2745.3, 2912.4, 3253.1, 3261.4, 3286.1, 3328.3, 3330.9, 4080.6, 4119.1, 4189.2, 4194.2, 4244.9, 4295.5, 4319.6, 4409.6, 4425.2]",11,330,"A588, U18, #15, OT"
54,"[76.1, 300.2, 338.5, 370.5, 374.7, 754.6, 1100.8, 2188.6, 2322.1, 2385.9, 2402.2, 2442.6, 2460.8, 2467.4, 2491.8, 2519.9, 2652.5, 2875.7, 3022.4, 3222.0, 3404.8, 3447.1, 3589.5, 3704.0, 3774.7, 3859.5, 4010.5, 4062.2, 4079.1, 4105.2, 4133.0, 4165.4, 4202.6, 4333.8]",10,300,"A588, U18, #15, OT"
55,"[267.1, 327.0, 527.5, 792.5, 988.6, 1148.4, 2358.4, 3372.2, 3424.7, 3660.5, 4239.2, 4302.1]",7,210,"A588, U18, #15, OT"
56,"[1169.1, 1474.1, 1492.7, 1531.0, 2121.2, 3183.0, 3306.7, 3362.4, 3411.6, 3504.0, 3510.0, 3556.3, 3758.0, 3916.0]",2,60,"A588, U18, #15, OT"
57,"[454.1, 623.0, 904.9, 1030.2, 1102.3, 1267.4, 1306.1, 1845.8, 1886.4, 1956.5, 1959.2, 2009.8, 2045.1, 2093.5, 2169.9, 2222.0, 2294.6, 2302.2, 2459.0, 2485.3, 2495.1, 2533.9, 2675.9, 2712.3, 2734.2, 3273.7, 3300.9, 3342.2, 3345.0, 3353.5, 3402.7, 3556.8, 3715.1, 4016.4, 4026.3, 4041.2, 4154.4, 4188.7, 4252.6]",6,180,"A588, U18, #15, OT"
58,"[44.7, 98.1, 162.0, 740.3, 1839.4, 1881.5, 1950.8, 1969.1, 1994.4, 2023.9, 2034.8, 2050.5, 2910.2, 3497.3, 3516.1, 3540.3, 3879.3, 4271.5]",0,0,"A588, U18, #15, OT"
59,"[2116.1, 3871.0, 3920.1, 3960.3, 4013.0, 4030.6, 4090.5, 4204.7, 4323.7]",9,270,"A588, U18, #15, OT"
60,"[779.0, 814.5, 1899.6, 2214.3, 2246.6, 2793.9, 2808.7, 3863.1]",1,30,"A588, U18, #15, OT"
61,"[3962.9, 3986.7, 4034.0, 4145.8, 4226.8, 4373.0, 4431.5]",8,240,"A588, U18, #15, OT"
62,"[71.6, 1350.1, 1645.0, 1948.1]",3,90,"A588, U18, #15, OT"
63,"[635.6, 741.2, 1122.3, 2028.7, 2059.2, 2075.3, 2107.8, 2121.1, 2132.1, 2154.1, 2340.1, 2779.7]",7,210,"A588, U18, #15, OT"
